Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
Generated by CDAWeb on: Tue Jun  7 10:53:21 2011

               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    WIND> Solar Wind Parameters
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics>Interplanetary Studies
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DESCRIPTOR               SWE>Solar Wind Experiment
     DATA_TYPE                H1>100-sec Proton Anisotropy Analysis
     DATA_VERSION             1
     TEXT                     SWE, a comprehensive plasma instrument for the WIND spacecraft, K.W.
                              Ogilvie, et al., Space Sci. Rev., 71, 55-77, 1995
                              Solar wind proton parameters, including anisotropic temperatures, derived by                           
                               non-linear fitting of the measurements and with moment techniques.                                    
                              Data reported within this file do not exceed the limits of various parameters                          
                               listed in the following section.  There may be more valid data in the original                        
                               dataset that requires additional work to interpret but was discarded due to                           
                               the limits.  In particular we have tried to exclude non-solar wind data from                          
                               these files.                                                                                          
                              We provide the one sigma uncertainty for each parameter produced by the non-linear                     
                               curve fitting analysis either directly from the fitting or by propagating uncertainties               
                               for bulk speeds, flow angles or any other derived parameter.                                          
                              For the non-linear anisotropic proton analysis, a scalar thermal speed is produced                     
                               by determining parallel and perpendicular temperatures, taking the trace, Tscalar                     
                               = (2Tperp + Tpara)/3 and converting the result back to a thermal speed.  The                          
                               uncertainties are also propagated through                                                             
     MODS                     12/28/94, 3/4/96, by Alan J. Lazarus John T. Steinberg Daniel B. Berdichevsky.
     ADID_REF                 NSSD0138
     LOGICAL_FILE_ID          wi_h1_swe_00000000_V01
     LOGICAL_SOURCE           wi_h1_swe
     LOGICAL_SOURCE_DESCR     Wind Solar Wind Experiment, 100-sec Solar Wind Proton Anisotropy Analysis
     PI_NAME                  K. Ogilvie
     PI_AFFILIATION           NASA GSFC
     MISSION_GROUP            Wind
     INSTRUMENT_TYPE          Plasma and Solar Wind
     LINK_TEXT                Wind SWE
     LINK_TITLE               Home Page
     HTTP_LINK                http://web.mit.edu/afs/athena/org/s/space/www/wind.html

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, centered, in NSSDC Epoch
 2. Proton bulk speed V (km/s) from non-linear analysis
 3. Proton bulk velocity component Vx (GSE, km/s) from non-linear analysis
 4. Proton bulk velocity component Vy (GSE, km/s) from non-linear analysis
 5. Proton bulk velocity component Vz (GSE, km/s) from non-linear analysis
 6. Scalar proton thermal speed W (km/s),trace of anisotropic temperatures
 7. Proton thermal speed Wperpendicular (km/s) from non-linear analysis
 8. Proton thermal speed Wparallel (km/s) from non-linear analysis
 9. Proton number density Np (n/cc) from non-linear analysis
10. Proton bulk speed V (km/s) from moment analysis
11. Proton velocity component Vx (GSE, km/s) from moment analysis
12. Proton velocity component Vy (GSE, km/s) from moment analysis
13. Proton velocity component Vz (GSE, km/s) from moment analysis
14. Proton thermal speed W (km/s) from isotropic moment analysis
15. Proton thermal speed Wperpendicular (km/s) from bimax moment analysis
16. Proton thermal speed Wparallel (km/s), from bimaxwellian moment analysis
17. Proton number density Np (n/cc) from moment analysis

EPOCH                     P+_V_NONLIN P+_VX_GSE_NONLIN P+_VY_GSE_NONLIN P+_VZ_GSE_NONLIN   P+_W_NONLIN P+_WPERP_NONLIN P+_WPAR_NONLIN  P+_NP_NONLIN    P+_V_(MOM) P+_VX_GSE_(MOM) P+_VY_GSE_(MOM)   P+_VZ_(MOM)    P+_W_(MOM) P+_WPERP_(MOM) P+_WPAR_(MOM)   P+_NP_(MOM)
dd-mm-yyyy_hh:mm:ss.ms           km/s             km/s             km/s             km/s          km/s            km/s           km/s          n/cc          km/s            km/s            km/s          km/s          km/s           km/s          km/s          n/cc
15-05-2000 16:00:13.939       405.900         -405.400          12.4000          15.8000       25.9000         22.3000        32.1000       5.11000       409.600        -409.100         12.3000       16.6000       44.9000        44.9000       44.8000       5.58700
15-05-2000 16:01:53.126       404.800         -404.100          11.8000          20.2000       25.7000         22.7000        30.9000       5.49200       408.600        -407.800         12.1000       21.5000       45.1000        45.0000       46.7000       5.85500
15-05-2000 16:03:32.313       404.000         -403.500          10.3000          18.2000       25.7000         22.4000        31.3000       5.24400       408.300        -407.800         8.30000       18.1000       45.7000        46.0000       45.7000       5.73800
15-05-2000 16:05:11.500       402.400         -401.800          9.90000          18.1000       26.1000         23.1000        31.3000       5.59000       405.800        -405.200         10.5000       19.5000       45.6000        45.8000       46.9000       5.99600
15-05-2000 16:06:47.663       401.500         -400.800          10.0000          20.0000       26.7000         23.9000        31.6000       5.65500       405.200        -404.500         10.5000       20.6000       46.2000        46.3000       45.7000       6.06800
15-05-2000 16:08:26.851       402.100         -401.400          10.6000          21.4000       27.9000         23.8000        34.6000       5.77300       405.400        -404.700         10.3000       22.6000       46.2000        46.5000       45.4000       6.16800
15-05-2000 16:10:06.038       402.200         -401.700          9.40000          17.6000       26.4000         23.1000        32.0000       5.49600       405.700        -405.200         9.20000       19.0000       45.9000        46.7000       44.7000       5.94900
15-05-2000 16:11:45.225       400.700         -400.000          13.0000          20.7000       28.3000         24.2000        35.1000       5.57000       404.500        -403.700         11.4000       22.0000       46.6000        47.1000       45.5000       6.03700
15-05-2000 16:13:24.412       401.900         -401.100          14.3000          22.0000       28.4000         24.3000        35.2000       5.73300       405.200        -404.100         16.2000       23.8000       49.1000        49.2000       50.9000       6.20400
15-05-2000 16:15:03.686       402.700         -402.000          13.4000          20.8000       25.9000         23.0000        31.0000       5.19900       406.800        -405.900         16.0000       21.8000       45.9000        45.6000       46.8000       5.70300
15-05-2000 16:16:42.873       402.100         -401.300          14.7000          20.8000       26.1000         23.0000        31.4000       5.14100       406.300        -405.400         16.7000       21.6000       46.5000        45.7000       49.4000       5.58900
15-05-2000 16:18:22.060       402.500         -401.500          15.8000          22.8000       26.7000         23.0000        32.8000       5.26600       406.000        -405.000         16.9000       23.6000       45.9000        46.3000       47.1000       5.67500
15-05-2000 16:20:01.247       403.700         -402.900          11.5000          23.0000       27.6000         21.5000        36.9000       4.95700       407.700        -406.800         12.0000       25.0000       46.1000        44.0000       52.0000       5.53400
15-05-2000 16:23:19.708       405.500         -405.000          6.10000          19.8000       23.3000         20.3000        28.3000       5.16200       409.700        -409.100         6.50000       21.2000       44.8000        44.8000       43.9000       5.64200
15-05-2000 16:24:58.895       411.300         -411.100          4.60000          13.4000       19.9000         17.4000        24.1000       4.10400       418.300        -418.000         6.20000       14.1000       47.3000        48.8000       37.2000       4.80100
15-05-2000 16:26:38.083       405.700         -405.200          6.00000          18.1000       24.0000         20.9000        29.1000       5.00100       410.300        -409.800         7.10000       18.6000       45.6000        46.6000       37.3000       5.31400
15-05-2000 16:28:17.270       406.100         -405.400          6.90000          22.5000       24.4000         21.8000        29.0000       5.23900       410.200        -409.500         7.70000       23.8000       44.9000        46.5000       43.5000       5.45300
15-05-2000 16:29:56.543       405.200         -404.300          2.80000          25.8000       29.9000         23.7000        39.3000       5.49200       408.600        -407.600         3.60000       28.3000       49.0000        49.0000       47.9000       6.13300
15-05-2000 16:31:35.731       400.800         -400.400          2.80000          17.0000       25.4000         22.2000        30.9000       5.63900       403.600        -403.200         4.20000       17.4000       43.5000        43.3000       45.0000       6.05500
15-05-2000 16:33:14.918       403.000         -402.400          5.00000          20.1000       26.8000         21.9000        34.6000       5.73300       406.900        -406.300         4.70000       22.1000       45.1000        45.9000       49.1000       6.07000
15-05-2000 16:34:54.105       408.100         -407.500         0.300000          22.4000       27.7000         24.1000        33.8000       6.24700       410.500        -409.700         4.30000       23.7000       44.4000        45.8000       31.3000       6.76100
15-05-2000 16:36:33.292       403.500         -403.000         -3.20000          20.2000       27.9000         25.3000        32.5000       6.94300       406.000        -405.400        -2.30000       22.8000       43.7000        44.0000       54.8000       7.26700
15-05-2000 16:39:51.753       404.000         -403.400          4.00000          20.7000       29.1000         22.7000        38.7000       5.42800       407.300        -406.700         1.00000       21.8000       45.4000        45.9000       40.3000       5.96800
15-05-2000 16:41:30.940       403.200         -403.100          5.10000          8.60000       24.9000         21.4000        30.7000       5.26100       407.100        -407.000         6.90000       8.50000       44.9000        45.5000       42.4000       5.68400
15-05-2000 16:43:10.127       408.300         -408.000          7.10000          14.1000       25.1000         21.4000        31.2000       5.08100       412.900        -412.500         9.60000       15.3000       46.7000        46.8000       44.8000       5.64600
15-05-2000 16:46:28.588       406.100         -406.000        -0.800000          9.20000       30.4000         25.1000        38.9000       6.74800       390.700        -388.400         30.8000       30.1000       66.4000        62.8000       60.7000       9.37200
15-05-2000 16:48:07.775       405.000         -404.600          2.60000          18.6000       26.8000         23.7000        32.3000       6.61400       407.900        -407.400         3.60000       19.7000       44.3000        44.3000       48.5000       7.04400
15-05-2000 16:49:46.963       407.100         -406.600          5.30000          19.0000       22.7000         21.6000        24.7000       6.60900       410.500        -409.900         6.60000       20.5000       42.8000        43.1000       45.0000       6.91800
